Order ID,Order Date,Category,Sub-Category,Region,Ship Mode,Sales,Quantity,Discount,Profit,Customer ID
ORD-01264,2024-02-17,Office Supplies,Storage,West,Same Day,921.96,3,0.11,376.68,CUST-1126
ORD-02861,2024-02-17,Technology,Accessories,South,First Class,807.95,1,0.09,-203.7,CUST-1810
ORD-01468,2024-02-18,Technology,Machines,East,First Class,208.12,1,0.06,32.51,CUST-1007
ORD-01427,2024-02-18,Office Supplies,Art,West,First Class,652.91,5,0.08,298.49,CUST-1345
ORD-02172,2024-02-19,Technology,Accessories,Central,Standard Class,828.89,6,0.18,-13.18,CUST-1391
ORD-01507,2024-02-19,Furniture,Chairs,West,Second Class,451.64,9,0.11,-36.01,CUST-1068
ORD-02672,2024-02-19,Technology,Copiers,Central,Second Class,825.66,8,0.26,12.53,CUST-1667
ORD-00621,2024-02-21,Technology,Accessories,South,Same Day,72.36,9,0.19,5.85,CUST-1988
ORD-01803,2024-02-21,Furniture,Chairs,East,Same Day,592.63,8,0.04,-55.84,CUST-1020
ORD-02203,2024-02-21,Furniture,Chairs,Central,Second Class,16.78,8,0.22,4.43,CUST-1209
ORD-00820,2024-02-21,Technology,Accessories,South,First Class,917.83,4,0.05,-44.78,CUST-1641
ORD-02584,2024-02-21,Technology,Accessories,South,First Class,670.96,2,0.07,142.6,CUST-1742
ORD-01971,2024-02-21,Technology,Machines,Central,Second Class,230.34,8,0.14,-38.5,CUST-1440
ORD-02941,2024-02-21,Technology,Machines,Central,Standard Class,519.26,3,0.26,170.01,CUST-1237
ORD-03240,2024-02-22,Office Supplies,Art,West,Same Day,142.66,2,0.13,-7.41,CUST-1373
ORD-00368,2024-02-22,Technology,Machines,Central,Standard Class,907.84,7,0.12,-217.1,CUST-1725
ORD-02510,2024-02-23,Furniture,Bookcases,East,Second Class,745.52,6,0.1,189.81,CUST-1213
ORD-00827,2024-02-23,Office Supplies,Art,West,First Class,111.66,10,0.21,15.38,CUST-1860
ORD-01366,2024-02-23,Office Supplies,Paper,West,Second Class,876.38,8,0.19,-90.31,CUST-1012
ORD-02539,2024-02-23,Office Supplies,Binders,South,Second Class,303.07,8,0.18,-27.56,CUST-1623
ORD-00126,2024-02-23,Technology,Copiers,East,Second Class,280.54,5,0.28,-3.87,CUST-1185
ORD-01978,2024-02-24,Technology,Accessories,South,Second Class,350.53,6,0.29,-4.53,CUST-1914
ORD-03072,2024-02-24,Furniture,Tables,Central,Second Class,907.8,1,0.09,211.3,CUST-1599
ORD-01786,2024-02-25,Office Supplies,Binders,West,First Class,149.44,8,0.28,4.09,CUST-1370
ORD-00258,2024-02-25,Technology,Machines,West,Same Day,799.71,2,0.25,201.84,CUST-1418
ORD-00057,2024-02-25,Furniture,Furnishings,West,Same Day,189.91,5,0.11,-22.09,CUST-1334
ORD-00600,2024-02-25,Office Supplies,Storage,East,Second Class,510.54,5,0.08,90.48,CUST-1281
ORD-01242,2024-02-25,Furniture,Tables,West,Standard Class,368.66,9,0.25,52.11,CUST-1769
ORD-02506,2024-02-25,Technology,Accessories,West,Second Class,779.1,6,0.02,-43.34,CUST-1404
ORD-02821,2024-02-26,Furniture,Furnishings,South,Same Day,425.69,8,0.08,-34.42,CUST-1153
ORD-00041,2024-02-26,Furniture,Bookcases,West,Standard Class,47.87,10,0.13,11.78,CUST-1321
ORD-02549,2024-02-26,Furniture,Furnishings,West,Standard Class,734.07,1,0.23,-132.81,CUST-1231
ORD-00362,2024-02-26,Office Supplies,Binders,West,Second Class,858.54,4,0.2,-58.2,CUST-1419
ORD-02256,2024-02-26,Furniture,Bookcases,West,Second Class,482.09,7,0.22,-73.63,CUST-1746
ORD-02964,2024-02-26,Office Supplies,Art,West,First Class,404.84,6,0.2,-47.74,CUST-1448
ORD-02747,2024-02-26,Technology,Copiers,East,Second Class,224.52,1,0.16,-44.37,CUST-1112
ORD-00465,2024-02-26,Office Supplies,Binders,Central,First Class,388.85,4,0.2,-36.1,CUST-1323
ORD-01009,2024-02-27,Furniture,Bookcases,West,First Class,74.67,10,0.0,31.94,CUST-1192
ORD-00792,2024-02-27,Furniture,Tables,South,First Class,937.45,5,0.27,-87.28,CUST-1838
ORD-01500,2024-02-27,Technology,Machines,East,Second Class,468.55,10,0.12,181.42,CUST-1669
ORD-00329,2024-02-27,Technology,Copiers,West,Second Class,838.33,8,0.16,-112.36,CUST-1038
ORD-00181,2024-02-28,Furniture,Chairs,Central,Second Class,769.29,7,0.19,-171.84,CUST-1910
ORD-02714,2024-02-29,Office Supplies,Paper,South,Standard Class,192.8,8,0.25,-26.15,CUST-1444
ORD-02580,2024-02-29,Furniture,Chairs,East,First Class,896.01,2,0.19,310.65,CUST-1729
ORD-00359,2024-02-29,Furniture,Tables,West,First Class,257.0,8,0.02,-2.95,CUST-1203
ORD-00635,2024-02-29,Office Supplies,Binders,East,Second Class,724.19,10,0.17,21.19,CUST-1765
ORD-00541,2024-03-01,Office Supplies,Storage,South,Standard Class,448.57,5,0.05,-63.77,CUST-1134
ORD-01119,2024-03-01,Furniture,Bookcases,East,Same Day,383.85,10,0.17,-45.69,CUST-1502
ORD-02501,2024-03-01,Technology,Machines,West,First Class,562.25,4,0.12,30.64,CUST-1126
ORD-01870,2024-03-02,Office Supplies,Paper,West,Second Class,521.91,9,0.28,101.22,CUST-1570
ORD-01384,2024-03-03,Technology,Phones,East,Standard Class,935.68,2,0.1,-131.09,CUST-1530
ORD-01218,2024-03-03,Technology,Machines,South,Same Day,182.03,9,0.24,-37.28,CUST-1029
ORD-03106,2024-03-03,Furniture,Chairs,Central,Same Day,956.68,1,0.22,79.49,CUST-1149
ORD-02994,2024-03-03,Technology,Phones,Central,First Class,605.39,7,0.21,41.29,CUST-1489
ORD-01089,2024-03-04,Furniture,Furnishings,Central,Second Class,746.92,4,0.28,1.2,CUST-1110
ORD-02743,2024-03-05,Technology,Accessories,East,Same Day,527.74,7,0.07,183.01,CUST-1243
ORD-01831,2024-03-05,Furniture,Bookcases,Central,First Class,789.82,7,0.12,-173.38,CUST-1773
ORD-00959,2024-03-05,Furniture,Tables,South,Standard Class,127.6,8,0.17,35.99,CUST-1731
ORD-02266,2024-03-07,Technology,Machines,Central,Standard Class,70.26,6,0.18,10.96,CUST-1563
ORD-01790,2024-03-07,Furniture,Chairs,East,First Class,619.98,7,0.29,66.71,CUST-1786
ORD-02836,2024-03-07,Office Supplies,Storage,Central,Same Day,868.94,4,0.17,267.14,CUST-1259
ORD-00544,2024-03-07,Office Supplies,Binders,Central,Same Day,230.33,4,0.23,-43.82,CUST-1949
ORD-01602,2024-03-07,Technology,Copiers,West,Standard Class,541.71,7,0.09,190.74,CUST-1056
ORD-02996,2024-03-08,Furniture,Furnishings,West,First Class,599.48,2,0.22,-39.87,CUST-1850
ORD-02347,2024-03-08,Technology,Accessories,East,Second Class,628.65,8,0.02,188.48,CUST-1179
ORD-02483,2024-03-08,Office Supplies,Paper,East,Same Day,621.69,4,0.15,142.0,CUST-1286
ORD-00682,2024-03-08,Technology,Phones,South,First Class,909.44,1,0.02,208.61,CUST-1772
ORD-02966,2024-03-08,Office Supplies,Art,Central,Standard Class,294.4,8,0.23,-6.23,CUST-1109
ORD-03164,2024-03-08,Office Supplies,Storage,South,Second Class,913.24,7,0.05,-208.99,CUST-1664
ORD-03078,2024-03-09,Office Supplies,Binders,Central,Standard Class,563.62,2,0.14,-56.62,CUST-1327
ORD-03048,2024-03-09,Technology,Machines,West,Same Day,92.07,3,0.14,14.98,CUST-1849
ORD-02322,2024-03-09,Furniture,Tables,South,Same Day,925.26,3,0.17,-162.81,CUST-1795
ORD-02959,2024-03-10,Technology,Machines,South,Same Day,444.64,6,0.14,116.82,CUST-1210
ORD-01723,2024-03-10,Technology,Accessories,South,Standard Class,512.29,5,0.19,-25.52,CUST-1620
ORD-02370,2024-03-10,Technology,Copiers,South,Second Class,880.55,2,0.14,-6.36,CUST-1643
ORD-01462,2024-03-11,Technology,Copiers,Central,First Class,884.43,1,0.22,186.9,CUST-1508
ORD-00324,2024-03-11,Technology,Accessories,Central,Same Day,417.87,9,0.14,-82.59,CUST-1392
ORD-01639,2024-03-12,Technology,Accessories,South,First Class,93.98,3,0.06,-15.64,CUST-1111
ORD-03194,2024-03-12,Technology,Phones,West,Standard Class,508.28,3,0.08,-123.4,CUST-1364
ORD-01176,2024-03-13,Technology,Phones,West,Second Class,590.48,4,0.2,-41.46,CUST-1155
ORD-01252,2024-03-13,Technology,Phones,Central,First Class,535.96,7,0.07,-116.02,CUST-1096
ORD-00566,2024-03-13,Technology,Accessories,South,Second Class,630.93,9,0.27,32.23,CUST-1833
ORD-01725,2024-03-14,Technology,Machines,East,Standard Class,924.41,4,0.27,14.39,CUST-1399
ORD-02583,2024-03-15,Furniture,Chairs,West,First Class,391.67,6,0.15,143.22,CUST-1657
ORD-00844,2024-03-15,Furniture,Tables,West,Same Day,864.54,7,0.07,32.18,CUST-1386
ORD-02120,2024-03-16,Furniture,Chairs,Central,Same Day,235.6,1,0.16,-22.33,CUST-1953
ORD-02897,2024-03-16,Office Supplies,Binders,Central,Standard Class,309.96,10,0.08,95.54,CUST-1215
ORD-02173,2024-03-16,Furniture,Chairs,East,First Class,326.47,9,0.17,101.15,CUST-1174
ORD-00381,2024-03-17,Office Supplies,Art,East,First Class,665.35,1,0.01,-136.59,CUST-1454
ORD-00110,2024-03-17,Office Supplies,Storage,East,First Class,242.45,9,0.04,14.64,CUST-1686
ORD-00704,2024-03-17,Office Supplies,Storage,South,Standard Class,30.2,8,0.18,12.1,CUST-1386
ORD-02144,2024-03-17,Furniture,Chairs,West,Same Day,980.33,1,0.08,80.53,CUST-1213
ORD-01356,2024-03-17,Office Supplies,Storage,East,Second Class,571.26,1,0.19,-17.04,CUST-1299
ORD-00882,2024-03-18,Furniture,Furnishings,Central,Second Class,285.35,1,0.16,115.55,CUST-1663
ORD-00631,2024-03-18,Technology,Accessories,South,First Class,630.92,5,0.1,-168.27,CUST-1241
ORD-01401,2024-03-18,Office Supplies,Paper,East,First Class,249.33,10,0.11,64.5,CUST-1452
ORD-01150,2024-03-19,Furniture,Furnishings,Central,First Class,557.87,4,0.02,148.51,CUST-1265
ORD-02730,2024-03-19,Technology,Accessories,South,Same Day,127.52,2,0.1,3.03,CUST-1699
ORD-01587,2024-03-20,Furniture,Bookcases,South,Standard Class,14.24,4,0.01,6.51,CUST-1460
ORD-01572,2024-03-21,Technology,Phones,West,Second Class,898.09,8,0.03,152.19,CUST-1630
ORD-00504,2024-03-21,Office Supplies,Storage,Central,Same Day,197.88,3,0.16,-6.82,CUST-1479
ORD-01064,2024-03-21,Office Supplies,Binders,East,Same Day,104.17,7,0.22,-6.52,CUST-1771
ORD-01527,2024-03-22,Technology,Phones,East,First Class,344.23,10,0.22,-19.51,CUST-1246
ORD-02385,2024-03-22,Furniture,Bookcases,South,Standard Class,632.06,1,0.2,64.39,CUST-1012
ORD-00081,2024-03-22,Office Supplies,Art,Central,First Class,100.41,10,0.18,-23.33,CUST-1783
ORD-01772,2024-03-23,Furniture,Chairs,Central,Standard Class,243.92,7,0.19,69.49,CUST-1875
ORD-01615,2024-03-23,Furniture,Tables,East,First Class,687.23,3,0.29,-38.43,CUST-1115
ORD-01428,2024-03-23,Office Supplies,Storage,East,Standard Class,555.76,3,0.26,181.46,CUST-1010
ORD-01684,2024-03-23,Furniture,Tables,Central,First Class,795.87,8,0.23,-15.88,CUST-1243
ORD-03244,2024-03-23,Technology,Accessories,South,Same Day,767.38,5,0.14,-184.4,CUST-1748
ORD-02275,2024-03-24,Furniture,Bookcases,Central,Standard Class,854.97,1,0.03,338.19,CUST-1231
ORD-03218,2024-03-25,Office Supplies,Art,South,Standard Class,183.85,9,0.27,66.41,CUST-1860
ORD-00846,2024-03-25,Office Supplies,Art,South,Same Day,472.88,7,0.11,41.26,CUST-1279
ORD-01402,2024-03-25,Technology,Accessories,West,Standard Class,53.32,1,0.28,-1.03,CUST-1973
ORD-00063,2024-03-25,Office Supplies,Storage,Central,First Class,510.9,6,0.0,18.42,CUST-1501
ORD-01826,2024-03-25,Office Supplies,Paper,Central,Same Day,484.73,9,0.13,67.73,CUST-1435
ORD-01526,2024-03-25,Furniture,Bookcases,East,Standard Class,136.15,2,0.28,24.45,CUST-1209
ORD-02845,2024-03-25,Technology,Phones,West,First Class,820.93,7,0.06,-153.02,CUST-1621
ORD-02619,2024-03-25,Furniture,Chairs,Central,First Class,816.38,6,0.05,32.87,CUST-1299
ORD-01496,2024-03-26,Technology,Machines,East,Same Day,326.44,1,0.08,23.69,CUST-1816
ORD-03021,2024-03-26,Office Supplies,Paper,East,Standard Class,611.04,7,0.15,-6.86,CUST-1667
ORD-02457,2024-03-27,Office Supplies,Paper,Central,Same Day,754.27,8,0.09,73.82,CUST-1014
ORD-00168,2024-03-27,Technology,Copiers,South,Standard Class,643.07,1,0.02,132.35,CUST-1372
ORD-00470,2024-03-27,Office Supplies,Art,Central,Same Day,899.14,10,0.26,61.64,CUST-1782
ORD-01546,2024-03-27,Furniture,Furnishings,West,First Class,294.33,9,0.24,54.14,CUST-1404
ORD-00499,2024-03-27,Technology,Phones,Central,Same Day,642.13,4,0.11,-147.63,CUST-1682
ORD-00350,2024-03-28,Office Supplies,Binders,South,Second Class,997.3,3,0.25,-70.08,CUST-1932
ORD-01021,2024-03-28,Technology,Phones,West,First Class,163.02,2,0.09,-25.73,CUST-1408
ORD-02389,2024-03-28,Technology,Accessories,East,First Class,603.49,10,0.03,217.34,CUST-1842
ORD-02589,2024-03-29,Furniture,Furnishings,Central,Second Class,449.72,2,0.28,11.2,CUST-1573
ORD-02098,2024-03-29,Office Supplies,Storage,Central,Standard Class,955.15,9,0.27,14.43,CUST-1938
ORD-00508,2024-03-30,Furniture,Tables,East,Second Class,115.98,4,0.03,17.64,CUST-1856
ORD-01630,2024-03-30,Furniture,Furnishings,South,First Class,111.59,9,0.13,-18.58,CUST-1755
ORD-00836,2024-03-30,Furniture,Tables,West,Standard Class,182.41,5,0.22,-4.0,CUST-1567
ORD-01898,2024-03-30,Furniture,Furnishings,East,Same Day,597.71,1,0.0,52.06,CUST-1927
ORD-00150,2024-03-30,Office Supplies,Art,West,Same Day,614.49,8,0.07,-62.1,CUST-1988
ORD-00829,2024-03-31,Furniture,Tables,Central,Same Day,517.99,6,0.09,192.4,CUST-1794
ORD-02460,2024-03-31,Furniture,Chairs,Central,Second Class,338.8,5,0.18,110.24,CUST-1479
ORD-00990,2024-04-01,Furniture,Bookcases,East,Same Day,150.42,4,0.01,6.21,CUST-1150
ORD-01770,2024-04-01,Office Supplies,Storage,South,Same Day,355.82,4,0.21,78.04,CUST-1899
ORD-00189,2024-04-02,Office Supplies,Binders,West,Standard Class,557.69,2,0.12,29.59,CUST-1563
